
5.32;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.3, 357.3);
5.34;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 306.6, 357.3);
5.36;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.5, 357.4);
5.38;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 306.5, 357.3);
5.4;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.5, 357.2);
5.42;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.5, 357.3);
5.44;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 306.6, 357.4);
5.46;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 306.7, 357.3);
5.48;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 306.7, 357.3);
5.5;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 306.8, 357.4);
5.52;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 306.6, 357.4);
5.54;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.6, 357.3);
5.56;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.2, 357.3);
5.58;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.0, 357.3);
5.6;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.2, 357.2);
5.62;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.2, 357.4);
5.64;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.3, 357.3);
5.66;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.2);
5.68;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.2);
5.7;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.4);
5.72;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.2, 357.3);
5.74;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.3);
5.76;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.3);
5.78;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.3);
5.8;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.3);
5.82;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.3, 357.4);
5.84;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 306.9, 357.5);
5.86;Route1;1;(382.5, 1.5, 1074.2);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.1, 306.8, 357.6);
5.88;Route1;1;(382.4, 1.5, 1074.1);(-0.8, -0.1, 0.6);(0.0, -0.4, 0.0, 0.9);(3.2, 306.6, 357.5);
5.9;Route1;1;(382.4, 1.5, 1074.0);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.2);
5.92;Route1;1;(382.4, 1.5, 1073.9);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.2, 306.1, 357.2);
5.94;Route1;1;(382.4, 1.5, 1073.9);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.3, 357.4);
5.96;Route1;1;(382.4, 1.5, 1073.8);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.3, 357.4);
5.98;Route1;1;(382.4, 1.5, 1073.7);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.3, 357.3);
6;Route1;1;(382.4, 1.5, 1073.6);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.3);
6.02;Route1;1;(382.4, 1.5, 1073.6);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.3, 357.4);
6.04;Route1;1;(382.4, 1.5, 1073.5);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.4);
6.06;Route1;1;(382.4, 1.5, 1073.4);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.3);
6.08;Route1;1;(382.4, 1.5, 1073.3);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.3);
6.1;Route1;1;(382.4, 1.5, 1073.3);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.4);
6.12;Route1;1;(382.4, 1.5, 1073.2);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.3);
6.14;Route1;1;(382.4, 1.5, 1073.1);(-0.8, -0.1, 0.6);(0.0, -0.5, 0.0, 0.9);(3.1, 306.2, 357.3);
